,lat,lon,time
669,48.164378,17.130784,20250825141151
670,48.164402,17.130694,20250825141152
671,48.164427,17.130601,20250825141153
672,48.164452,17.130516,20250825141154
673,48.164492,17.13044,20250825141155
674,48.16452,17.130359,20250825141156
675,48.164565,17.13028,20250825141157
676,48.16459,17.130214,20250825141158
677,48.164623,17.130135,20250825141159
678,48.164649,17.130028,20250825141200
679,48.164676,17.129935,20250825141201
680,48.164701,17.129863,20250825141202
681,48.164723,17.129779,20250825141203
682,48.164755,17.129709,20250825141204
683,48.164798,17.129666,20250825141205
684,48.164837,17.129642,20250825141206
685,48.16487,17.129729,20250825141207
686,48.164913,17.129783,20250825141208
687,48.164958,17.129826,20250825141209
688,48.164936,17.129831,20250825141210
689,48.164941,17.129864,20250825141211
690,48.164972,17.129887,20250825141212
691,48.164989,17.129884,20250825141213
692,48.165012,17.129925,20250825141214
693,48.165022,17.129945,20250825141215
694,48.165061,17.130001,20250825141216
695,48.165113,17.130015,20250825141217
696,48.165146,17.130002,20250825141218
697,48.165232,17.129928,20250825141219
698,48.16528,17.12987,20250825141220
699,48.165314,17.129805,20250825141221
700,48.165348,17.129751,20250825141222
701,48.165394,17.129689,20250825141223
702,48.16543,17.129591,20250825141224
703,48.16547,17.129518,20250825141225
704,48.1656,17.129393,20250825141226
705,48.165655,17.129323,20250825141227
706,48.165689,17.129256,20250825141228
707,48.165722,17.129187,20250825141229
708,48.165751,17.129103,20250825141230
709,48.165787,17.129025,20250825141231
710,48.165825,17.12896,20250825141232
711,48.165857,17.128887,20250825141233
712,48.165887,17.12881,20250825141234
713,48.165928,17.128745,20250825141235
714,48.165967,17.128663,20250825141236
715,48.166021,17.128585,20250825141237
716,48.166057,17.128516,20250825141238
717,48.166092,17.128435,20250825141239
718,48.166143,17.128371,20250825141240
719,48.166191,17.128289,20250825141241
720,48.166223,17.128215,20250825141242
721,48.16626,17.128133,20250825141243
722,48.166295,17.128059,20250825141244
723,48.166325,17.127983,20250825141245
724,48.166364,17.127923,20250825141246
725,48.166395,17.127863,20250825141247
726,48.166437,17.127816,20250825141248
727,48.166485,17.127792,20250825141249
728,48.166541,17.127768,20250825141250
729,48.166582,17.127753,20250825141251
730,48.166627,17.127745,20250825141252
731,48.166632,17.127757,20250825141253
732,48.166648,17.127765,20250825141254
733,48.166664,17.127773,20250825141255
734,48.166699,17.127793,20250825141256
735,48.166742,17.127794,20250825141257
736,48.166761,17.127806,20250825141258
737,48.166796,17.127804,20250825141259
738,48.166821,17.127839,20250825141300
739,48.166856,17.127867,20250825141301
740,48.166894,17.127889,20250825141302
741,48.166933,17.127893,20250825141303
742,48.166972,17.127915,20250825141304
743,48.167012,17.127945,20250825141305
744,48.167038,17.127959,20250825141306
745,48.167069,17.127964,20250825141307
746,48.167102,17.127964,20250825141308
747,48.167191,17.127944,20250825141309
748,48.167249,17.127975,20250825141310
749,48.167318,17.127984,20250825141311
750,48.167435,17.128013,20250825141312
751,48.167522,17.128046,20250825141313
752,48.167635,17.128074,20250825141314
753,48.167724,17.128118,20250825141315
754,48.167812,17.128144,20250825141316
755,48.167879,17.128171,20250825141317
756,48.167944,17.128202,20250825141318
757,48.168013,17.128238,20250825141319
758,48.168064,17.128291,20250825141320
759,48.168091,17.128269,20250825141321
760,48.16811,17.128282,20250825141322
761,48.168147,17.128314,20250825141323
762,48.168202,17.128319,20250825141324
763,48.168234,17.128337,20250825141325
764,48.16827,17.128369,20250825141326
765,48.16831,17.1284,20250825141327
766,48.168343,17.128423,20250825141328
767,48.168354,17.128432,20250825141329
768,48.168367,17.12844,20250825141330
769,48.168371,17.128439,20250825141331
770,48.168371,17.128437,20250825141332
771,48.168371,17.128437,20250825141333
772,48.168393,17.128455,20250825141334
773,48.168393,17.128455,20250825141335
